review_id,text,true_sentiment,true_category
11,جربت فطور في رمضان اجواء جميله جداً العالم رايقه بالمنطقه كامله طريقة تقديم مطعم الكوفيه للفطور فيها احترافيه تدخل تدريجي قهوه و تمر و طحينيه بعدها تخش في الشوربات شوي الا و انت داخل في السلطات بعدها تدخل على الكبه و السمبوسه تخلص منهم ينزلك بالطبق الرئيسي اللي يطربك و تقفلها بحلى قطايف موفقين ان شاء الله,positive,Food Quality
12,"المطعم ممتاز والاكل طيب والمكان وتفاصيل المكان كلها متعوب عليها، وماقصر الأخ نور معانا يستاهل زيارة اخرى",positive,Service & Staff
13,"loved the atmosphere and the food. Beautiful place from the decor to the staff uniforms, I loved it! Perfect place for breakfast. Great service very welcoming staff and attentive.",positive,Service & Staff
14,"زبون دائما ولاكن هذا المره المطعم مختلف تماماً من ناحيه الطعام ومن ناحيه الخدمه ، الخبز قبل يتم فتره ولازال حار طري تتلدد فيه هل مره بارد خشن ماتحس فيه وطعمه وسبحان الله ولا كأنه المطعم نفسه الخدمه قبل من البدايه استقبال إلى الطاوله و من خدمتهم يجونك من البدايه هل مره لا احد تعب نفسه ووقت الطلب أدور شخص يجي عشان يستلم الطلب مافي حتى سوال واحد مافي وللعم كنت عائله مكونه من 5 أشخاص مش شخص واحد عشان من ينتبه له ، حرام هذا المطعم على خدمته و ابتسامه الموضفين وخدمتهم و لده الطعام يكون على هذا المستوه حالياً وعدم الاهتمام ولو كان زبون واحد فقط ، كلمه من البدايه وسوال من البدايه عل اقل كيف أخدمك تغير كثييير بس مافي كأن المطعم كله مختلف غير مو الكوفيه سابقاً شكرا ….",negative,Food Quality
15,الاكل مرتب بس الاكل مافي طعم يشهي اللي عجبتني السلطه الكوفيه اسبشل سلط الطلب كان سلط و جاج محشي من غير طعم و فخار كبة,neutral,Food Quality
16,جيتهم مره ثانية وكل شي تمام بس تضايقت انهم دبلوا الحساب وماانتبهت الا لما طلعت طلبي كان منسف لحم شخص واحد وسلطة وعصير حاسبوني 18.700دينار ..لييه؟ اطالبكم بتعويض  ماعجبني اللخبطة .. المنسف وسلطة الخيار مع دبس الرمان خييال الموظف (علاء) توصى فيني ماقصر ومبتسم على طول والطلب جا سرريع والشاي كوشري برضوا ..الأسعار مرتفعه حبتين ..شكراً,negative,Price
17,الاخت مار خدمتنا بشكل جيد اكل جيد طلبنا فخاره موزه مع ورق عنب وفته حمص وعصير برتقال وبينها وشاي تركي ب١٥٠ ريال جلسه علي بحرحلوه والاكل ممتاز انصح به بشده,positive,Service & Staff
18,"المكان يجنن و فريد من نوعه تجربه حلوه ، عندهم جلسات داخل و خارج حلوه. جربت المنسف لذيذ بس يعتبر وجبه دسمه الصحن يكفي من لـ ثلاث اشخاص و التبوله خيييال ، تجربه مميزه ارجع اكررها",positive,Service & Staff
19,"أنا زبون للمطعم هذا من 3 سنوات، والشيء اللي يخليني أرجع له المرة تلو المرة هو الثبات.. نفس الجودة العالية ونفس الطعم اللذيذ والمنعش ما تغيرت من أول يوم دخلته",positive,Service & Staff
20,جيت اتعشى في مطعم الكوفية لأول مرة. اكلت لحم راس في هذا المطعم. وكذلك جربت وجبة المسخن. وسلطة الكوفيه. الفاتوره كانت ١٦ دينار واشوفه سعر مناسب. الاكل لذيذ والاجواء حلوه. انصح في المكان وبرجع لهم مره ثانية باذن الله.,positive,Food Quality
21,"الأكل كان عاديًا، ولم يكن بالمستوى المطلوب، أما شاي الكرك فكان أقرب إلى شاي الحليب من دون نكهة مميزة. لكن الجلسة الهادئة ومنظر البحر الساحر يُغفر لهم كل ذلك.",neutral,Service & Staff
22,"من الوجهات اللي دايم نروحها مع العائلة و اول مكان يخطر على بالنا هو الكوفية ، المطعم اكله لذيذ و الكمية ممتازة فتوش الفلاحين لذيذ وفتة الباذنجان بعد وناخد منهم فخارة كفتة لحم محشية بالجبن وصوص الطماط و الباذنجان لذيذة واجد الستاف خدومين وبشوشين كلهم",positive,Service & Staff
23,〽️ المطعم موقعه حلو ومطل على البحر وفيه جلسات داخليه وخارجيه ومجهزة بتكييفات بكل مكان. 🥘 الاكل عندهم كويس ويشبع ما شاء الله. 👤 تعاملهم كويس. ,positive,Location & Ambience
24,"الاكل جدا لذيذ والمكان نظيف ومرتب والاطلاله اجمل بس صراحه وجود المدخنين في المكان خرب من جو المكان ، مرا مؤذي وخصوصا للي عندهم حساسيه في الصدر اتمنى تمنعون التدخين في المكان",neutral,Location & Ambience
25,الاكل لذيذ و المكان مريح والخدمة روعه و الويتر توني لطيفة وخدومة,positive,Service & Staff
26,"بصراحة ماخذ صيت اكبر من اللازم والطعم بالنسبة لتقييمي عادي جداً . طلبنا قلاية اللحم وصلت باردة جداً الفتوش جيد جداً اما المسخن لم يكن المتوقع الطبق اللي اعجبني بصراحة صفيحة اللحم ممتازة جداً تجربة جديدة ، لكن تقييمي العام للمطعم 10/7",negative,Food Quality
27,تعامل الموظفين راقي .. لكن المطعم فيه ذباب كثير ومزعج الصراحة الذبان على الاكل يقرفني .. جربت الفتوش ممتاز .. لكن الفريك متواضع ما عجبني أبداً.. وكذلك اخذت شقف لحم ما اكلته اللحمة قاسية غير جيد. مشويات الكوفية جيدة و طعمها طيب .. اللي يميز المطعم موقعه لكنها تجربه لن تتكرر بسبب الذباب و ما شفت شي مميز من ناحية الاكل المطعم عادي جداً .. اتمنى لكم التوفيق ( عمر من الخبر),negative,Location & Ambience
28,"المكان اطلالته وجلسته شرحة و حلوة ، لكن الاكل مو هذاك الزود ، سلطتهم الفتوش لذيذة ، المنسف والمقلوبة عادي جداً الجميد جانا بارد مو ساخن ، الورق عنب والرقاب كان طعمه لذيذ والملوخية ايضا .",neutral,Food Quality
29,المكان وديكوره مره حلووو والضيافه زينه بس مو مرره واااوو الاستقبال بس يكونون شوي بشوشين تحسهم مرره منفسين الاكل حلو كان الطلب شيش طاووق واوصال لحم وطاجن روبيان بس هذا ماعجبني كانه حمسه بصل وطماطم وربيان اما السلطه هذي شي ثااني ماعجبني ابداً قلت بغيره طبعاً رفض كان اسمها فتوش الفلاحين المشكله ماكتبو في المنيو انها طحينه بدل دبس الرمان,neutral,Food Quality
30,"طلبنا فريكة لحم راس. فضيييعه وموزونه ، جابوها مع شوربه بيضا مثل المنسف، جداً لذيذه لمحبي لحمة الراس، وطلبنا حميسة لحم وكان لذيذ. واجواء المطعم بالليل خياليه. ارجع له ثاني مره",positive,Food Quality
31,مطعم جدا ممتاز وراقي والطعم فاخر من الاخر اطباق فلسطينية واردنية تحس نفسك بتاكل من يد والدتك زمن الطيبين الغوالي,positive,Service & Staff
32,الاكل لذيذ والخدمة ممتازه جدا واشكر الاخ علاء على خدمته وتعامله الراقي,positive,Service & Staff
33,المطعم يقدم اكلات شامية جميلة 10 / 10 لكن المنسف واللي انا جاي على شانه ما عجبني و ريحته كريها ما قصر مسؤول المطعم تقبل النقد و استرجع قيمته و الغاه من الفاتورة ,neutral,Service & Staff
34,"الاكل لذيذ بس الحراره عادية قريب البارد الخدمة افشل خدمة يطول مره مقدم طعام واحد يخدم دور كامل مشرف المكان مايعرف يتصرف و يشرف المكان مع الزباين اقوله احتاج ويتر عندنا يقول ماعندي موظفين ، انا وش دخلني وفر موظفين قبل لا تستقبل عدد كبير التاخير ياخذ اكثر من ٤٠ دقيقة",negative,Service & Staff
35,للأمانة الاكل والخدمة والمكان فوووق الوصف لذيذ للغاية الطاقم جدا ودودين,positive,Service & Staff
36,صراحة مطعم جميل الكبه المشويه باللحم شي شي خيالي ارجع مليون مره عشانها المنسف اول مره اجربه وبصراحه عجبني مره الملوخيه لذيذة بس الرز الابيض مع الدجاج اقل م العادي الرز مسلوق ومافي طعم والاسعار مرتفعه شوي الاطلاله لايعلى عليها ..الخدمه والموظفين وكل شي رائع,positive,Food Quality
37,الاجواء جميلة والخدمة ممتازة والتعامل راقي من الموظفين خاصة نور ااكل كان متميز وكذاق طيب هاصة اللحوم شكرا للجميع ليست التجربة الاولى,positive,Service & Staff
38,المكان جدا جميل والطعام الذ. والخدمة ممتازة والاسعار شوي مرتفعة بس يستاها ومقابل البحر,positive,Location & Ambience
39,"انا من الزوار الدائمين لفرع الرياض ، شتّان بين فرع البحرين و الرياض . طلباتي كانت كالاتي : منسف لحم - الرز كان ناشف ناشف جدا جدا جدا ومش مستوي ماقدرت اكمل اكله . سلطة التبوله - مليانه بصل .. يا عمي متى التبوله فيها بصل ؟ البصل طاغي جدا حسيت انس اكل بصل . سلطة شمندر - الصوص التتبيله - كانت سيئة جدا بخل البلسميك .. لو الاكتفاء بالله و الليمون و الملح و زيت الزيتون افضل بمليون مره . الحمص كان لذيذ جدا كانت الخدمه سريعه و الخبر حار . يوجد جلسات خارجيه و يوجد موسيقى . الاسعار مرتفعه جدا ! فرق كبير عن الرياض . تجربه لن اعاود تكرارها.",negative,Food Quality
40,ممتاز ثاني مرة اجربه مع العلم تجربتي امس كانه الدجاج فيه زفرة خفيفة اتمنى انهم يشتغلون على الاهتمام بالجودة,neutral,Food Quality
41,"نشكر الاخ نور على خدمته الرائعة وأخلاقه العالية، فعلاً رفعت من مستوى تجربتنا في المطعم.",positive,Service & Staff
42,تم زيادة الاسعار وعدم توافقها مع اسعار قائمة الطعام في موقع المطعم.,negative,Price
43,مكان رائع وجميل وخدمه ممتازه جزاكم الله خيرا,positive,Location & Ambience
44,اتكمل عن المكان ولا التفاصيل المميزه والاكل اللذيذ بصراحه تجربه جميله اكيد راح اكررها الجلسات شرحه ومريحه وخدمتهم حلوه بس شوي بطيئين جربت الفطور عجبني كل شي بصراحه بس التقاطيع ماحبيت الفلافل لذيذ جدا الاسعار مناسبه يقدمون خبز فرش  عندهم مبيعات للمنتجات حقتهم,positive,Service & Staff
45,جربت الإفطار جيد,positive,Food Quality
46,مشكلته عدم توفر بعض الاطباق وارتفاع الاسعار شوي,negative,Price
47,تجربة ممتازة والاسعار معقولة ولكن نوعية اللحم بالمنسف والبامية قاسية ... الطعم لذيذ ولكن لم استمتع بالتجربة بسبب قساوة ونوعية اللحم السيئة والنادل مصطفى كانت خدمته جيدة وتلبية الطلبات سريعة,negative,Food Quality
48,المطعم والعامليييييين في المطعم اسوء ماخلق ربي تقديم خدمة سيئة جدا الويتر بجحيييين الطلب يوصلك متأخر جدا ووفوق هذا كل شي تطلبه عطني خبز الين ما خلصت الصحن والخبز ما جاني طلبت منه يجيب لي دبس رمان قال ب نص دينار يعني قلة حيا وعدم احترام وتقدير للعميل اسوء مطعم في البحرين وهذه اول واخر زيارة له واتمنى إزالة كل العاملييييين وتغييييرهم لاننهم ما يصلحون ولاعندهم احترام او تقدير للعميل حتى رضا العميل اخر همهم اتمنى يتخذ الإجراء اللازم معهم,negative,Service & Staff
49,الأكل جيد والتعامل محترم لكن سعر الباقات لوجبة الافطار غالية جدا طبق رئيسي وحلى ومقبلات وعصير فيمتو و ساخن ب١١.٩٠٠ د بهذا السعر يفترض بوفيه مفتوح او أقلها وضع بوفيه سلطات متنوعه أو يعطى الزبون الاختيار من القائمة رزقكم الله,negative,Price
50,المكان موقعه وجلساته الخارجية تجنن الطعام سيء جدا ولا صنف عجبني حتى الخبز سميك ومو حلو لاأكرر الزيارة,negative,Food Quality
